,Cities in Canada,Number of residents in thousands
0,"Toronto, Ontario",6341.94
1,"Montréal, Quebec",4255.54
2,"Vancouver, British Columbia",2650.01
3,"Calgary, Alberta",1486.05
4,"Edmonton, Alberta",1420.92
5,"Ottawa-Gatineau, Ontario/Quebec",1414.4
6,"Winnipeg, Manitoba",832.19
7,"Québec, Quebec",817.41
8,"Hamilton, Ontario",786.64
9,"Kitchener-Cambridge-Waterloo, Ontario",567.74
10,"London, Ontario",532.98
11,"Halifax, Nova Scotia",430.51
12,"St. Catharines-Niagara, Ontario",429.04
13,"Oshawa, Ontario",405.63
14,"Victoria, British Columbia",395.52
15,"Windsor, Ontario",349.72
16,"Saskatoon, Saskatchewan",322.57
17,"Regina, Saskatchewan",257.34
18,"Sherbrooke, Quebec",218.8
19,"St. John's, Newfoundland and Labrador",212.5
20,"Kelowna, British Columbia",212.31
21,"Barrie, Ontario",210.8
22,"Abbotsford-Mission, British Columbia",196.01
23,"Kingston, Ontario",173.45
24,"Greater Sudbury, Ontario",171.47
25,"Guelph, Ontario",162.61
26,"Saguenay, Quebec",162.06
27,"Trois-Rivières, Quebec",159.08
28,"Moncton, New Brunswick",152.6
29,"Brantford, Ontario",147.55
30,"Peterborough, Ontario",131.28
31,"Saint John, New Brunswick",130.11
32,"Thunder Bay, Ontario",126.48
