,Quarter,Unit sales in millions
0,Q4 '18,46.89
1,Q3 '18,41.3
2,Q2 '18,52.22
3,Q1 '18,77.32
4,Q4 '17,46.68
5,Q3 '17,41.03
6,Q2 '17,50.76
7,Q1 '17,78.29
8,Q4 '16,45.51
9,Q3 '16,40.4
10,Q2 '16,51.19
11,Q1 '16,74.78
12,Q4 '15,48.05
13,Q3 '15,47.53
14,Q2 '15,61.17
15,Q1 '15,74.47
16,Q4 '14,39.27
17,Q3 '14,35.2
18,Q2 '14,43.72
19,Q1 '14,51.03
20,Q4 '13,33.8
21,Q3 '13,31.24
22,Q2 '13,37.43
23,Q1 '13,47.79
24,Q4 '12,26.91
25,Q3 '12,26.03
26,Q2 '12,35.06
27,Q1 '12,37.04
28,Q4 '11,17.07
29,Q3 '11,20.34
30,Q2 '11,18.65
31,Q1 '11,16.24
32,Q4 '10,14.1
33,Q3 '10,8.4
34,Q2 '10,8.75
35,Q1 '10,8.74
36,Q4 '09,7.37
37,Q3 '09,5.21
38,Q2 '09,3.79
39,Q1 '09,4.36
40,Q4 '08,6.89
41,Q3 '08,0.72
42,Q2 '08,1.7
43,Q1 '08,2.32
44,Q4 '07,1.12
45,Q3 '07,0.27
