,Year,Number of new confirmed cases
0,30.09.2020,17
1,29.09.2020,20
2,28.09.2020,5
3,27.09.2020,24
4,26.09.2020,17
5,25.09.2020,18
6,24.09.2020,17
7,23.09.2020,22
8,22.09.2020,33
9,21.09.2020,16
10,20.09.2020,19
11,19.09.2020,24
12,18.09.2020,51
13,17.09.2020,35
14,16.09.2020,53
15,15.09.2020,49
16,14.09.2020,39
17,13.09.2020,50
18,12.09.2020,46
19,11.09.2020,56
20,10.09.2020,59
21,09.09.2020,93
22,08.09.2020,66
23,07.09.2020,48
24,06.09.2020,76
25,05.09.2020,83
26,04.09.2020,89
27,03.09.2020,127
28,02.09.2020,109
29,01.09.2020,85
30,31.08.2020,84
31,30.08.2020,125
32,29.08.2020,112
33,28.08.2020,131
34,27.08.2020,124
35,26.08.2020,156
36,25.08.2020,151
37,24.08.2020,121
38,23.08.2020,216
39,22.08.2020,200
40,21.08.2020,180
41,20.08.2020,246
42,19.08.2020,228
43,18.08.2020,226
44,17.08.2020,290
45,16.08.2020,285
46,15.08.2020,313
47,14.08.2020,385
48,13.08.2020,292
49,12.08.2020,428
50,11.08.2020,354
51,10.08.2020,337
52,09.08.2020,404
53,08.08.2020,475
54,07.08.2020,464
55,06.08.2020,484
56,05.08.2020,738
57,04.08.2020,452
58,03.08.2020,444
59,02.08.2020,687
60,01.08.2020,417
61,31.07.2020,652
62,30.07.2020,746
63,29.07.2020,319
64,28.07.2020,400
65,27.07.2020,549
66,26.07.2020,475
67,25.07.2020,372
68,24.07.2020,309
69,23.07.2020,423
70,22.07.2020,503
71,21.07.2020,388
72,20.07.2020,296
73,19.07.2020,381
74,18.07.2020,233
75,17.07.2020,438
76,16.07.2020,330
77,15.07.2020,259
78,14.07.2020,284
79,13.07.2020,192
80,12.07.2020,279
81,11.07.2020,227
82,10.07.2020,307
83,09.07.2020,182
84,08.07.2020,147
85,07.07.2020,199
86,06.07.2020,140
87,05.07.2020,94
88,04.07.2020,114
89,03.07.2020,66
90,02.07.2020,86
91,01.07.2020,85
92,30.06.2020,71
93,29.06.2020,85
94,28.06.2020,53
95,27.06.2020,47
96,26.06.2020,37
97,25.06.2020,37
98,24.06.2020,30
99,23.06.2020,20
100,22.06.2020,18
101,21.06.2020,25
102,20.06.2020,26
103,19.06.2020,20
104,18.06.2020,21
105,17.06.2020,23
106,16.06.2020,12
107,15.06.2020,15
108,14.06.2020,18
109,13.06.2020,13
110,12.06.2020,9
111,11.06.2020,9
112,10.06.2020,7
113,09.06.2020,2
114,08.06.2020,5
115,07.06.2020,5
116,06.06.2020,2
117,05.06.2020,11
118,04.06.2020,10
119,03.06.2020,8
120,02.06.2020,17
121,01.06.2020,8
122,31.05.2020,12
123,30.05.2020,11
124,29.05.2020,17
125,28.05.2020,18
126,27.05.2020,11
127,26.05.2020,15
128,25.05.2020,9
129,24.05.2020,4
130,23.05.2020,14
131,22.05.2020,14
132,21.05.2020,5
133,20.05.2020,12
134,19.05.2020,6
135,18.05.2020,11
136,17.05.2020,8
137,16.05.2020,15
138,15.05.2020,32
139,14.05.2020,14
140,13.05.2020,13
141,12.05.2020,18
142,11.05.2020,6
143,10.05.2020,14
144,09.05.2020,15
145,08.05.2020,18
146,07.05.2020,20
147,06.05.2020,25
148,05.05.2020,25
149,04.05.2020,27
150,03.05.2020,15
151,02.05.2020,15
152,01.05.2020,15
153,30.04.2020,11
154,29.04.2020,15
155,28.04.2020,8
156,27.04.2020,8
157,26.04.2020,17
158,25.04.2020,20
159,24.04.2020,18
160,23.04.2020,8
161,22.04.2020,12
162,21.04.2020,18
163,20.04.2020,13
164,19.04.2020,42
165,18.04.2020,41
166,17.04.2020,47
167,16.04.2020,33
168,15.04.2020,35
169,14.04.2020,45
170,13.04.2020,44
171,12.04.2020,33
172,11.04.2020,87
173,10.04.2020,105
174,09.04.2020,84
175,08.04.2020,105
176,07.04.2020,119
177,06.04.2020,107
178,05.04.2020,141
179,04.04.2020,188
180,03.04.2020,226
181,02.04.2020,274
182,01.04.2020,302
183,31.03.2020,310
184,30.03.2020,265
185,29.03.2020,344
186,28.03.2020,460
187,27.03.2020,370
188,26.03.2020,376
189,25.03.2020,382
190,24.03.2020,370
191,23.03.2020,328
192,22.03.2020,282
193,21.03.2020,194
194,20.03.2020,168
195,19.03.2020,145
196,18.03.2020,109
197,17.03.2020,79
198,16.03.2020,80
199,15.03.2020,50
200,14.03.2020,48
201,13.03.2020,37
202,12.03.2020,34
203,11.03.2020,15
204,10.03.2020,20
205,09.03.2020,12
206,08.03.2020,8
207,07.03.2020,9
208,06.03.2020,4
209,05.03.2020,8
210,04.03.2020,11
211,03.03.2020,8
212,02.03.2020,5
213,01.03.2020,7
