,Year,Number of people in millions
0,2020,67.06
1,2019,66.98
2,2018,66.88
3,2017,66.77
4,2016,66.6
5,2015,66.42
6,2014,66.13
7,2013,65.56
8,2012,65.24
9,2011,64.93
10,2010,64.61
11,2009,64.3
12,2008,63.96
13,2007,63.6
14,2006,63.19
15,2005,62.73
16,2004,62.25
17,2003,61.82
18,2002,61.38
19,2001,60.94
20,2000,60.51
21,1999,60.12
22,1998,59.89
23,1997,59.69
24,1996,59.48
25,1995,59.28
26,1994,59.07
27,1993,58.85
28,1992,58.57
29,1991,58.28
30,1990,57.99
31,1989,57.66
32,1988,57.33
33,1987,57.01
34,1986,56.72
35,1985,56.44
36,1984,56.17
37,1983,55.9
38,1982,55.57
