,Quarter,Household indebtedness to income ratio
0,Q2 20,120.44%
1,Q1 20,117.11%
2,Q4 19,114.73%
3,Q3 19,114.17%
4,Q2 19,113.18%
5,Q1 19,112.26%
6,Q4 18,111.37%
7,Q3 18,110.33%
8,Q2 18,111.04%
9,Q1 18,110.98%
10,Q4 17,112.65%
11,Q3 17,112.33%
12,Q2 17,113.24%
13,Q1 17,112.13%
14,Q4 16,109.06%
15,Q3 16,109.24%
16,Q2 16,109.49%
17,Q1 16,108.49%
18,Q4 15,108.68%
19,Q3 15,107.52%
20,Q2 15,106.66%
21,Q1 15,106.27%
22,Q4 14,104.6%
23,Q3 14,104.56%
24,Q2 14,105.52%
25,Q1 14,105.05%
26,Q4 13,103.85%
27,Q3 13,101.94%
28,Q2 13,102.31%
29,Q1 13,102.64%
