,Year,GDP per capita in U.S. dollars
0,2025*,8690.04
1,2024*,8252.81
2,2023*,7736.76
3,2022*,7299.09
4,2021*,6728.17
5,2020*,6450.45
6,2019,8751.38
7,2018,9043.24
8,2017,9974.81
9,2016,8757.3
10,2015,8846.48
11,2014,12175.96
12,2013,12357.57
13,2012,12426.69
14,2011,13295.72
15,2010,11327.46
16,2009,8641.66
17,2008,8873.19
18,2007,7385.33
19,2006,5914.46
20,2005,4814.67
21,2004,3655.33
22,2003,3086.09
23,2002,2853.57
24,2001,3177.83
25,2000,3771.94
26,1999,3502.75
27,1998,5128.34
28,1997,5323.82
29,1996,5200.11
30,1995,4950.66
31,1994,3494.0
32,1993,2786.18
33,1992,2522.84
34,1991,2676.89
35,1990,3105.01
36,1989,3086.83
37,1988,2288.61
38,1987,2086.7
39,1986,1954.38
40,1985,1718.9
