,Year,Number of degree recipients in thousands
0,2029-30*,1007.0
1,2028-29*,1006.0
2,2027-28*,1005.0
3,2026-27*,1002.0
4,2025-26*,998.0
5,2024-25*,995.0
6,2023-24*,992.0
7,2022-23*,989.0
8,2021-22*,986.0
9,2020-21*,983.0
10,2019-20*,981.0
11,2018-19*,977.0
12,2017-18,1011.49
13,2016-17,1005.16
14,2015-16,1008.23
15,2014-15,1014.34
16,2013-14,1005.16
17,2012-13,1007.43
18,2011-12,1021.72
19,2010-11,943.51
20,2009-10,848.86
21,2008-09,787.24
22,2007-08,750.17
23,2006-07,727.62
24,2005-06,713.32
25,2004-05,696.66
26,2003-04,665.3
27,2002-03,634.02
28,2001-02,595.13
29,2000-01,578.87
30,1999-00,564.93
31,1989-90,455.1
32,1979-80,400.91
33,1969-70,206.02
