,Industry,Number of employed people
0,Public administration,6809
1,Retail trade,2844
2,Accommodation and food services,1912
3,Educational services,1480
4,Transportation and warehousing,1416
5,Health care and social assistance,1368
6,Construction,1333
7,"Professional, scientific and technical services",717
8,Other services (except public administration),574
9,"Administrative and support, waste management and remediation services",504
10,Information and cultural industries,493
11,"Arts, entertainment and recreation",383
12,Wholesale trade,377
13,Finance and insurance,332
14,Real estate and rental and leasing,308
15,Management of companies and enterprises,36
