,Quarter,Quarter-on-quarter growth
0,Q3 2020,15.5%
1,Q2 2020,-19.8%
2,Q1 2020,-2.5%
3,Q4 2019,0.1%
4,Q3 2019,0.3%
5,Q2 2019,0%
6,Q1 2019,0.6%
7,Q4 2018,0.2%
8,Q3 2018,0.6%
9,Q2 2018,0.4%
10,Q1 2018,0.1%
11,Q4 2017,0.4%
12,Q3 2017,0.4%
13,Q2 2017,0.3%
14,Q1 2017,0.5%
15,Q4 2016,0.6%
16,Q3 2016,0.3%
17,Q2 2016,0.5%
18,Q1 2016,0.2%
19,Q4 2015,0.7%
20,Q3 2015,0.4%
21,Q2 2015,0.7%
22,Q1 2015,0.5%
23,Q4 2014,0.6%
24,Q3 2014,0.6%
25,Q2 2014,0.7%
26,Q1 2014,0.8%
27,Q4 2013,0.6%
28,Q3 2013,0.9%
29,Q2 2013,0.8%
30,Q1 2013,0.5%
31,Q4 2012,-0.2%
32,Q3 2012,1.2%
33,Q2 2012,-0.1%
34,Q1 2012,0.7%
35,Q4 2011,0.1%
36,Q3 2011,0.3%
37,Q2 2011,0.1%
38,Q1 2011,0.4%
39,Q4 2010,0%
40,Q3 2010,0.7%
41,Q2 2010,1%
42,Q1 2010,0.6%
43,Q4 2009,0.3%
44,Q3 2009,0.1%
45,Q2 2009,-0.2%
46,Q1 2009,-1.7%
47,Q4 2008,-2.1%
48,Q3 2008,-1.6%
49,Q2 2008,-0.6%
50,Q1 2008,0.5%
51,Q4 2007,0.5%
52,Q3 2007,0.8%
53,Q2 2007,0.6%
54,Q1 2007,0.9%
55,Q4 2006,0.5%
56,Q3 2006,0.1%
57,Q2 2006,0.3%
58,Q1 2006,0.5%
59,Q4 2005,1.4%
60,Q3 2005,1.1%
61,Q2 2005,1.2%
62,Q1 2005,0.8%
63,Q4 2004,0.3%
64,Q3 2004,0.2%
65,Q2 2004,0.4%
66,Q1 2004,0.4%
67,Q4 2003,0.9%
68,Q3 2003,1.1%
69,Q2 2003,0.9%
70,Q1 2003,0.7%
71,Q4 2002,0.8%
72,Q3 2002,0.7%
73,Q2 2002,0.5%
74,Q1 2002,0.4%
75,Q4 2001,0.4%
76,Q3 2001,0.8%
77,Q2 2001,0.8%
78,Q1 2001,1.2%
79,Q4 2000,0.2%
80,Q3 2000,0.3%
81,Q2 2000,0.6%
82,Q1 2000,0.8%
