,Response,Share of responses
0,Washing hands more often/for longer,78%
1,"Social distancing (e.g. no handshakes, keeping a distance)",69%
2,Avoiding non essential social contact,68%
3,"Avoiding visits to pubs, cafes and restaurants when possible",66%
4,Using hand sanatizing gel/using it more often,58%
5,Avoiding public transport when possible,57%
6,Avoiding visits to elderly and vulnerable relatives and friends when possible,53%
7,Self-isolating at home,43%
8,Working from home/working from home more often,28%
9,Wearing a mask,12%
10,None of the above,3%
11,Don’t know,1%
