,Month,Index value
0,Dec 20,30606.48
1,Nov 20,29638.64
2,Oct 20,29638.64
3,Sep 20,26501.6
4,Aug 20,27781.7
5,Jul 20,26428.32
6,Jun 20,25812.88
7,May 20,25383.11
8,Apr 20,24345.72
9,Mar 20,21917.16
10,Feb 20,25409.36
11,Jan 20,28256.03
12,Dec 19,28538.44
13,Nov 19,28051.41
14,Oct 19,27046.23
15,Sep 19,26916.83
16,Aug 19,26864.27
17,Jul 19,26403.28
18,Jun 19,26599.96
19,May 19,24815.04
20,Apr 19,26592.91
21,Mar 19,25928.68
22,Feb 19,25916.0
23,Jan 19,24999.67
24,Dec 18,23327.46
25,Nov 18,25538.46
26,Oct 18,25115.76
27,Sep 18,26458.31
28,Aug 18,25964.82
29,Jul 18,25415.19
30,Jun 18,24271.41
31,May 18,24415.84
32,Apr 18,24163.15
33,Mar 18,24103.11
34,Feb 18,25029.2
35,Jan 18,26149.39
36,Dec 17,24719.22
37,Nov 17,24272.35
38,Oct 17,23377.24
39,Sep 17,22405.09
40,Aug 17,21948.1
41,Jul 17,21891.12
42,Jun 17,21349.63
43,May 17,21008.65
44,Apr 17,20940.51
45,Mar 17,20663.22
46,Feb 17,20812.24
47,Jan 17,19864.09
48,Dec 16,19762.6
49,Nov 16,19123.58
50,Oct 16,18142.42
51,Sep 16,18308.15
52,Aug 16,18400.88
53,Jul 16,18432.24
54,Jun 16,17929.99
55,May 16,17787.2
56,Apr 16,17773.64
57,Mar 16,17685.09
58,Feb 16,16516.5
59,Jan 16,16466.3
60,Dec 15,17425.03
61,Nov 15,17719.92
62,Oct 15,17663.54
63,Sep 15,16284.7
64,Aug 15,16528.03
65,Jul 15,17689.86
66,Jun 15,17619.51
67,May 15,18010.68
68,Apr 15,17840.52
69,Mar 15,17776.12
70,Feb 15,17662.94
71,Jan 15,18132.7
72,Dec 14,17164.95
73,Nov 14,17823.07
74,Oct 14,17828.24
75,Sep 14,17390.52
76,Aug 14,17042.9
77,Jul 14,17098.45
78,Jun 14,16563.3
79,May 14,16826.6
80,Apr 14,16717.17
81,Mar 14,16580.84
82,Feb 14,16457.66
83,Jan 14,16321.71
84,Dec 13,15698.85
85,Nov 13,16576.66
