,Quarter,Viewers in thousands
0,Q1 2012,11186
1,Q2 2012,11068
2,Q3 2012,12090
3,Q4 2012,12364
4,Q1 2013,12345
5,Q2 2013,11682
6,Q3 2013,11159
7,Q4 2013,11024
8,Q1 2014,12032
9,Q2 2014,11663
10,Q3 2014,11077
11,Q4 2014,12175
12,Q1 2015,12452
13,Q2 2015,11026
14,Q3 2015,11423
15,Q4 2015,10609
16,Q1 2016,11519
17,Q2 2016,10641
18,Q3 2016,11636
19,Q4 2016,11103
20,Q1 2017,10331
21,Q2 2017,9126
22,Q3 2017,9820
23,Q4 2017,11159
24,Q1 2018,10353
25,Q2 2018,9839
26,Q3 2018,10611
27,Q4 2018,10304
28,Q1 2019,10040
29,Q2 2019,8169
30,Q3 2019,8537
