,Year,Live births per thousand people
0,2020,9.4
1,2015,8.5
2,2010,8.4
3,2005,8.8
4,2000,9.6
5,1995,9.9
6,1990,11.0
7,1985,10.7
8,1980,10.3
9,1975,11.3
10,1970,16.0
11,1965,17.7
12,1960,16.6
13,1955,15.7
14,1950,16.52
15,1945,15.78
16,1940,17.93
17,1935,14.98
18,1930,17.64
19,1925,20.25
20,1920,16.71
21,1915,26.47
22,1910,31.75
23,1905,33.87
24,1900,35.91
25,1895,36.69
26,1890,36.62
27,1885,36.8
28,1880,38.8
29,1875,39.76
30,1870,38.14
31,1865,37.12
32,1860,34.72
33,1855,34.2
34,1850,37.24
35,1845,36.94
36,1840,36.4
37,1835,36.04
38,1830,36.94
39,1825,39.42
40,1820,39.26
41,1815,37.59
42,1810,37.74
43,1805,37.91
44,1800,37.98
