,Year,GDP per capita in U.S. dollars
0,2025*,6392.64
1,2024*,6118.5
2,2023*,5832.95
3,2022*,5523.76
4,2021*,5207.02
5,2020*,4909.39
6,2019*,5233.39
7,2018,5725.9
8,2017,5609.85
9,2016,5259.92
10,2015,5353.06
11,2014,6050.04
12,2013,5882.78
13,2012,5151.37
14,2011,5298.45
15,2010,4347.21
16,2009,3622.63
17,2008,4047.76
18,2007,2988.68
19,2006,2284.98
20,2005,1857.77
21,2004,1693.89
22,2003,1377.52
23,2002,1312.08
24,2001,1577.68
25,2000,1675.79
26,1999,1706.4
27,1998,1824.65
28,1997,2003.58
29,1996,2008.19
30,1995,1897.13
31,1994,1681.4
32,1993,1580.21
33,1992,1592.06
34,1991,1585.24
35,1990,1185.28
36,1989,977.84
37,1988,1392.42
38,1987,1084.7
39,1986,1335.76
40,1985,1154.15
