,Month,Male,Female
0,Nov '19,623.2,426.9
1,Oct '19,626.4,427.7
2,Sep '19,628.3,427.4
3,Aug '19,627.7,425.0
4,Jul '19,626.5,422.7
5,Jun '19,625.8,423.9
6,May '19,625.9,426.7
7,Apr '19,626.3,426.1
8,Mar '19,629.5,424.6
9,Feb '19,631.0,422.0
10,Jan '19,632.3,420.6
11,Dec '18,629.5,418.0
12,Nov'18,626.7,415.3
13,Oct'18,626.7,413.4
14,Sep'18,628.4,416.4
15,Aug'18,625.9,416.8
16,Jul'18,624.8,416.4
17,Jun'18,621.5,413.8
18,May'18,620.5,413.1
19,Apr '18,619.4,412.8
20,Mar '18,619.2,410.8
21,Feb '18,621.6,410.8
22,Jan '18,622.7,409.9
23,Dec '17,623.5,410.6
24,Nov '17,618.5,407.4
