,Response,Share of playing time
0,League of Legends,22.92%
1,Counter-Strike: Global Offensive,6.88%
2,Fallout 4,5.78%
3,DOTA 2,5.09%
4,World of Warcraft,4.82%
5,World of Tanks,3.48%
6,Hearthstone: Heroes of Warcraft,2.14%
7,Minecraft,1.97%
8,Smite,1.3%
9,Grand Theft Auto V,1.29%
10,Heroes of the Storm,1.16%
11,ARK: Survival Evolved,1.15%
12,Guild Wars 2,1.12%
13,Star Wars:The Old Republic,1.1%
14,Diablo III,1.08%
15,StarCraft II,1.04%
16,Spider Solitaire,0.89%
17,Battlefield 4,0.8%
18,Final Fantasy XIV Online,0.73%
19,Call of Duty: Black Ops III,0.72%
