,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",52.57
1,Manufacturing,49.22
2,Professional and business services,41.14
3,"Educational services, health care, and social assistance",36.44
4,Government and government enterprises,35.07
5,Retail trade,24.1
6,Wholesale trade,21.73
7,"Arts, entertainment, recreation, accommodation, and food services",17.79
8,Transportation and warehousing,14.29
9,Information,12.29
10,Construction,11.47
11,Other services (except government and government enterprises),7.85
12,"Agriculture, forestry, fishing, and hunting",1.92
13,Utilities,1.89
14,"Mining, quarrying, and oil and gas extraction",0.94
