,Month,Prize money,Endorsements
0,Serena Williams (tennis),4.2,25.0
1,Naomi Osaka (tennis),8.3,16.0
2,Angelique Kerber (tennis),5.3,6.5
3,Simona Halep (tennis),6.2,4.0
4,Sloane Stephens (tennis),4.1,5.5
5,Caroline Wozniacki (tennis),3.5,4.0
6,Maria Sharapova (tennis),1.0,6.0
7,Karolina Pliskova (tennis),4.6,1.7
8,Elina Svitolina (tennis),4.6,1.5
9,Venus Williams (tennis),0.9,5.0
10,Garbine Muguruza (tennis),2.4,3.5
11,Alex Morgan (soccer),0.25,5.5
12,P.V. Sindhu (badminton),0.5,5.0
13,Madison Keys (tennis),2.5,3.0
14,Ariya Jutanugarn (golf),3.3,2.0
