,Response,Share of gross domestic product
0,Manufacturing,19.7%
1,"Wholesale and retail trade, repair of motor vehicles and motorcycles",13%
2,"Agriculture, forestry and fishing",12.7%
3,Construction,10.8%
4,Mining and quarrying,7.3%
5,Transportation and storage,5.6%
6,Financial and insurance activities,4.2%
7,Information and communication,4%
8,"Public administration and defence, compulsory social security",3.6%
9,Education,3.3%
10,Real estate activities,2.8%
11,Accommodation and food service activities,2.8%
12,Other services activities,2%
13,Business activities,1.9%
14,Electricity and gas,1.2%
15,Human health and social work activities,1.1%
16,"Water, sewage and waste management",0.1%
