,Program (date),Audience in millions
0,Fifa World Cup: Croatia vs England (July 11),20.73
1,Fifa World Cup: Sweden vs England (July 07),17.4
2,Fifa World Cup: Columbia vs England (July 03),17.22
3,Fifa World Cup: Tunisia vs England (June 18),16.87
4,Bodyguard (September 23),14.34
5,I'm a Celebrity..... (November 18),13.69
6,Fifa World Cup: England vs Belgium (June 28),13.64
7,Fifa World Cup: England vs Panama (June 24),12.89
8,Strictly come dancing (December 15),12.86
9,Fifa World Cup: France vs Belgium (June 10),12.68
