,Year,Attendance
0,2007 - Giants vs. Dolphins,81176
1,2008 - Charges vs. Saints,83226
2,2009 - Patriots vs. Buccaneers,84254
3,2010 - Broncos vs. 49ers,83941
4,2011 - Bears vs. Buccaneers,76981
5,2012 - Patriots vs. Rams,84004
6,2013 - Steelers vs. Vikings,83518
7,2013 - 49ers vs. Jaguars,83559
8,2014 - Dolphins vs. Raiders,83436
9,2014 - Lions vs. Falcons,83532
10,2014 - Cowboys vs. Jaguars,83603
11,2015 - Jets vs. Dolphins,83986
12,2015 - Bills vs. Jaguars,84021
13,2015 - Lions vs. Chiefs,83624
14,2016 - Colts vs. Jaguars,83764
15,2016 - Giants vs. Rams,74121
16,2016 - Washington vs. Bengals,84488
17,2017 - Ravens vs. Jaguars,84592
18,2017 - Saints vs. Dolphins,84423
19,2017 - Cardinals vs. Rams,73736
20,2017 - Vikings vs. Browns,74237
21,2018 - Seahawks vs. Raiders,84922
22,2018 - Titans vs. Chargers,84301
23,2018 - Eagles vs. Jaguars,85870
24,2019 - Bears vs. Raiders,60463
25,2019 - Panthers vs. Buccaneers,60087
26,2019 - Bengals vs. Rams,83720
27,2019 - Texans vs. Jaguars,84771
