,university,Average test score
0,California Institute of Technology,1544
1,Massachusetts Institute of Technology,1507
2,Franklin W. Olin College of Engineering,1506
3,University of Chicago,1506
4,Yale University,1498
5,Vanderbilt University,1498
6,Harvard University,1497
7,Princeton University,1490
8,Harvey Mudd College,1484
9,Rice University,1482
10,Stanford University,1479
11,Columbia University,1473
12,Washington University in St. Louis,1469
13,Northwestern University,1460
14,University of Pennsylvania,1457
15,Brown University,1457
16,University of Notre Dame,1455
17,Johns Hopkins University,1453
18,Amherst College,1451
19,Duke University,1450
20,Carnegie Mellon University,1448
21,Williams College,1442
22,Webb Institute,1442
23,Dartmouth College,1437
24,Pomona College,1435
