,Year,Inflation rate compared to previous year
0,2024*,8.97%
1,2023*,8.97%
2,2022*,8.97%
3,2021*,8.97%
4,2020*,8.97%
5,2019*,7.32%
6,2018*,1.24%
7,2017,16.64%
8,2016,5.53%
9,2015,5.55%
10,2014,4.42%
11,2013,7.94%
12,2012,18.18%
13,2011,9.58%
14,2010,6.5%
15,2009,10.56%
16,2008,24.41%
17,2007,8.41%
18,2006,2.74%
19,2005,13.25%
20,2004,8.18%
21,2003,10.57%
22,2002,-1.26%
23,2001,7.87%
24,2000,25.52%
25,1999,3.52%
26,1998,12.47%
27,1997,31.06%
28,1996,26.42%
29,1995,19.36%
30,1994,14.71%
31,1993,9.71%
32,1992,5.33%
33,1991,9.01%
34,1990,6.99%
35,1989,11.67%
36,1988,4.49%
37,1987,7.11%
38,1986,1.67%
39,1985,3.82%
40,1984,14.3%
