,Year,Fertility rate
0,2020,1.42
1,2015,1.33
2,2010,1.37
3,2005,1.26
4,2000,1.51
5,1995,1.95
6,1990,2.16
7,1985,2.31
8,1980,2.23
9,1975,2.23
10,1970,2.33
11,1965,2.72
12,1960,3.47
13,1955,3.63
14,1950,3.62
15,1945,3.13
16,1940,3.31
17,1935,3.71
18,1930,4.31
19,1925,4.68
20,1920,3.83
21,1915,4.53
22,1910,4.98
23,1905,5.17
24,1900,5.57
25,1895,5.68
26,1890,5.52
27,1885,5.2
28,1880,5.31
29,1875,5.65
30,1870,5.59
31,1865,6.4
32,1860,6.11
33,1855,5.39
34,1850,5.3
35,1845,6.06
36,1840,6.38
37,1835,6.21
38,1830,6.18
39,1825,6.08
40,1820,6.11
41,1815,6.08
42,1810,6.16
43,1805,6.23
44,1800,6.28
