,Best and worst cities for jobs in the United States,Net employment outlook*
0,"Greenville-Mauldin-Easley, South Carolina",24%
1,"Knoxville, Tennessee",24%
2,"Syracuse, New York",21%
3,"Tulsa, Oklahoma",20%
4,"Oklahoma City, Oklahoma",20%
5,"Portland-South Portland-Biddeford, Maine",19%
6,"Denver-Aurora, Colorado",18%
7,"Bridgeport-Stamford-Norwalk, Connecticut",18%
8,"Columbus, Ohio",18%
9,"Boise City-Nampa, Idaho",17%
10,"Grand Rapids-Wyoming, Michigan",17%
11,"Des Moines-West Des Moines, Iowa",17%
12,"Phoenix-Mesa-Scottsdale, Arizona",17%
13,"New York-Northern New Jersey-Long Island, New York-New Jersey-Pennsylvania",6%
14,"Jackson, Mississippi",6%
15,"Lakeland-Winter Haven, Florida",6%
16,"Las-Vegas-Paradise, Nevada",5%
17,"Providence-New Bedford-Fall River, Rhode Island-Massachusetts",5%
18,"Rochester, New York",4%
19,"Scranton-Wilkes-Barre, Pennsylvania",3%
20,"Reno-Sparks, Nevada",3%
21,"Sacramento-Arden-Arcade-Roseville, California",3%
22,"Jacksonville, Florida",2%
