,Year,GDP per capita in U.S. dollars
0,2025*,27172.06
1,2024*,25969.77
2,2023*,24743.67
3,2022*,23307.26
4,2021*,21606.17
5,2020*,18669.3
6,2019,19344.17
7,2018,19449.96
8,2017,17560.68
9,2016,16526.47
10,2015,16324.67
11,2014,18668.68
12,2013,18205.91
13,2012,17294.62
14,2011,18223.9
15,2010,16634.69
16,2009,16567.15
17,2008,18048.56
18,2007,14349.95
19,2006,10683.5
20,2005,9129.07
21,2004,8027.23
22,2003,6330.05
23,2002,4620.66
24,2001,3976.09
25,2000,3832.54
26,1999,3864.18
27,1998,4232.73
28,1997,4069.75
29,1996,3989.98
30,1995,3696.57
