,Month,Stock price in euros
0,"Jan 8, 2021",8.96
1,"Jan 7, 2021",9.0
2,"Jan 6, 2021",8.69
3,"Jan 5, 2021",8.0
4,"Jan 4, 2021",7.75
5,"Dec 31, 2020",8.02
6,"Dec 30, 2020",7.96
7,"Dec 29, 2020",8.03
8,"Dec 28, 2020",8.09
9,"Dec 24, 2020",8.18
10,"Dec 23, 2020",8.04
11,"Dec 22, 2020",7.74
12,"Dec 21, 2020",7.6
13,"Dec 18, 2020",7.99
14,"Dec 17, 2020",8.13
15,"Dec 16, 2020",8.2
16,"Dec 15, 2020",8.31
17,"Dec 14, 2020",8.09
18,"Dec 11, 2020",8.14
19,"Dec 10, 2020",8.23
20,"Dec 9, 2020",8.5
21,"Dec 8, 2020",8.53
22,"Dec 7, 2020",8.51
23,"Dec 4, 2020",8.68
24,"Dec 3, 2020",8.57
25,"Dec 2, 2020",8.65
26,"Dec 1, 2020",8.62
27,"Nov 30, 2020",8.65
28,"Nov 27, 2020",9.5
29,"Nov 26, 2020",9.5
30,"Nov 25, 2020",9.63
31,"Nov 24, 2020",9.92
32,"Nov 23, 2020",9.35
33,"Nov 20, 2020",8.97
34,"Nov 19, 2020",9.06
35,"Nov 18, 2020",9.3
36,"Nov 17, 2020",9.17
37,"Nov 16, 2020",8.86
38,"Nov 13, 2020",8.41
39,"Nov 12, 2020",8.38
40,"Nov 11, 2020",8.22
41,"Nov 10, 2020",8.7
42,"Nov 9, 2020",8.35
43,"Nov 6, 2020",7.25
44,"Nov 5, 2020",7.42
45,"Nov 4, 2020",7.47
46,"Nov 3, 2020",7.6
47,"Nov 2, 2020",7.32
48,"Oct 30, 2020",7.05
49,"Oct 29, 2020",6.88
50,"Oct 28, 2020",7.0
51,"Oct 27, 2020",7.24
52,"Oct 26, 2020",7.52
53,"Oct 23, 2020",7.62
54,"Oct 22, 2020",7.42
55,"Oct 21, 2020",7.34
56,"Oct 20, 2020",7.38
57,"Oct 19, 2020",7.44
58,"Oct 16, 2020",7.38
59,"Oct 15, 2020",7.24
60,"Oct 14, 2020",7.32
61,"Oct 13, 2020",7.23
62,"Oct 12, 2020",7.62
63,"Oct 9, 2020",7.68
64,"Oct 8, 2020",7.84
65,"Oct 7, 2020",7.72
66,"Oct 6, 2020",7.71
67,"Oct 5, 2020",7.34
68,"Oct 2, 2020",7.26
69,"Oct 1, 2020",7.06
70,"Sep 30, 2020",7.15
71,"Sep 29, 2020",6.98
72,"Sep 28, 2020",7.21
73,"Sep 25, 2020",6.76
74,"Sep 24, 2020",6.84
75,"Sep 23, 2020",6.79
76,"Sep 22, 2020",6.92
77,"Sep 21, 2020",6.97
78,"Sep 18, 2020",7.48
79,"Sep 17, 2020",7.8
80,"Sep 16, 2020",8.05
81,"Sep 15, 2020",8.07
82,"Sep 14, 2020",8.3
83,"Sep 11, 2020",7.99
84,"Sep 10, 2020",8.19
85,"Sep 9, 2020",8.12
86,"Sep 8, 2020",8.0
87,"Sep 7, 2020",8.21
88,"Sep 4, 2020",8.24
89,"Sep 3, 2020",7.98
90,"Sep 2, 2020",7.91
91,"Sep 1, 2020",8.01
92,"Aug 31, 2020",7.98
93,"Aug 28, 2020",8.36
94,"Aug 27, 2020",8.16
95,"Aug 26, 2020",8.2
96,"Aug 25, 2020",8.25
97,"Aug 24, 2020",8.11
98,"Aug 21, 2020",7.79
99,"Aug 20, 2020",7.82
100,"Aug 19, 2020",8.11
101,"Aug 18, 2020",7.96
102,"Aug 17, 2020",8.01
103,"Aug 14, 2020",8.23
104,"Aug 13, 2020",8.53
105,"Aug 12, 2020",8.74
106,"Aug 11, 2020",8.09
107,"Aug 10, 2020",7.76
108,"Aug 7, 2020",7.38
109,"Aug 6, 2020",7.39
110,"Aug 5, 2020",7.29
111,"Aug 4, 2020",7.27
112,"Aug 3, 2020",7.17
113,"Jul 31, 2020",7.02
114,"Jul 30, 2020",7.05
115,"Jul 29, 2020",7.31
116,"Jul 28, 2020",7.46
117,"Jul 27, 2020",7.54
118,"Jul 24, 2020",7.69
119,"Jul 23, 2020",7.81
120,"Jul 22, 2020",7.94
121,"Jul 21, 2020",8.22
122,"Jul 20, 2020",8.22
123,"Jul 17, 2020",8.4
124,"Jul 16, 2020",8.45
125,"Jul 15, 2020",8.35
126,"Jul 14, 2020",8.21
127,"Jul 13, 2020",8.15
128,"Jul 10, 2020",8.08
129,"Jul 9, 2020",7.8
130,"Jul 8, 2020",8.0
131,"Jul 7, 2020",8.24
132,"Jul 6, 2020",8.4
133,"Jul 3, 2020",7.96
134,"Jul 2, 2020",8.01
135,"Jul 1, 2020",7.65
136,"Jun 30, 2020",7.67
137,"Jun 29, 2020",7.74
138,"Jun 26, 2020",7.42
139,"Jun 25, 2020",7.75
140,"Jun 24, 2020",7.52
141,"Jun 23, 2020",8.1
142,"Jun 22, 2020",7.67
143,"Jun 19, 2020",7.73
144,"Jun 18, 2020",7.91
145,"Jun 17, 2020",8.05
146,"Jun 16, 2020",8.18
147,"Jun 15, 2020",7.63
148,"Jun 12, 2020",7.64
149,"Jun 11, 2020",7.58
150,"Jun 10, 2020",8.32
151,"Jun 9, 2020",8.57
152,"Jun 8, 2020",9.07
153,"Jun 5, 2020",9.0
154,"Jun 4, 2020",8.3
155,"Jun 3, 2020",8.2
156,"Jun 2, 2020",7.88
157,"Jun 1, 2020",7.7
158,"May 29, 2020",7.21
159,"May 28, 2020",7.44
160,"May 27, 2020",7.43
161,"May 26, 2020",7.09
162,"May 25, 2020",6.46
163,"May 22, 2020",6.52
164,"May 21, 2020",6.28
165,"May 20, 2020",6.55
166,"May 19, 2020",6.36
167,"May 18, 2020",6.27
168,"May 15, 2020",5.84
169,"May 14, 2020",6.05
170,"May 13, 2020",6.06
171,"May 12, 2020",6.67
172,"May 11, 2020",6.65
173,"May 8, 2020",6.82
174,"May 7, 2020",6.71
175,"May 6, 2020",6.5
176,"May 5, 2020",6.69
177,"May 4, 2020",6.54
178,"Apr 30, 2020",7.0
179,"Apr 29, 2020",7.46
180,"Apr 28, 2020",6.95
181,"Apr 27, 2020",6.5
182,"Apr 24, 2020",6.31
183,"Apr 23, 2020",6.58
184,"Apr 22, 2020",6.49
185,"Apr 21, 2020",6.43
186,"Apr 20, 2020",6.85
187,"Apr 17, 2020",7.1
188,"Apr 16, 2020",6.96
189,"Apr 15, 2020",6.9
190,"Apr 14, 2020",7.53
191,"Apr 9, 2020",7.95
192,"Apr 8, 2020",7.77
193,"Apr 7, 2020",7.87
194,"Apr 6, 2020",7.64
195,"Apr 3, 2020",7.16
196,"Apr 2, 2020",7.39
197,"Apr 1, 2020",6.92
198,"Mar 31, 2020",7.48
199,"Mar 30, 2020",7.34
200,"Mar 27, 2020",8.15
201,"Mar 26, 2020",8.53
202,"Mar 25, 2020",8.86
203,"Mar 24, 2020",8.76
204,"Mar 23, 2020",7.61
205,"Mar 20, 2020",7.43
206,"Mar 19, 2020",7.18
207,"Mar 18, 2020",7.17
208,"Mar 17, 2020",7.67
209,"Mar 16, 2020",7.15
210,"Mar 13, 2020",7.55
211,"Mar 12, 2020",7.49
212,"Mar 11, 2020",9.51
213,"Mar 10, 2020",9.49
214,"Mar 9, 2020",9.53
215,"Mar 6, 2020",11.2
216,"Mar 5, 2020",11.65
217,"Mar 4, 2020",12.14
218,"Mar 3, 2020",12.0
219,"Mar 2, 2020",12.4
220,"Feb 28, 2020",12.44
221,"Feb 27, 2020",13.31
222,"Feb 26, 2020",14.02
223,"Feb 25, 2020",14.0
224,"Feb 24, 2020",14.24
225,"Feb 21, 2020",14.84
226,"Feb 20, 2020",15.0
227,"Feb 19, 2020",15.11
228,"Feb 18, 2020",15.13
229,"Feb 17, 2020",15.17
230,"Feb 14, 2020",15.19
231,"Feb 13, 2020",15.4
232,"Feb 12, 2020",15.9
233,"Feb 11, 2020",16.89
234,"Feb 10, 2020",16.68
235,"Feb 7, 2020",16.76
236,"Feb 6, 2020",16.71
237,"Feb 5, 2020",16.42
238,"Feb 4, 2020",15.96
239,"Feb 3, 2020",15.92
240,"Jan 31, 2020",15.72
241,"Jan 30, 2020",15.86
242,"Jan 29, 2020",16.05
243,"Jan 28, 2020",15.87
244,"Jan 27, 2020",15.57
245,"Jan 24, 2020",15.79
246,"Jan 23, 2020",15.79
247,"Jan 22, 2020",15.7
248,"Jan 21, 2020",15.72
249,"Jan 20, 2020",16.14
250,"Jan 17, 2020",16.44
251,"Jan 16, 2020",16.39
252,"Jan 15, 2020",16.39
253,"Jan 14, 2020",16.54
254,"Jan 13, 2020",16.34
255,"Jan 10, 2020",16.62
256,"Jan 9, 2020",16.79
257,"Jan 8, 2020",16.55
258,"Jan 7, 2020",16.33
259,"Jan 6, 2020",16.13
260,"Jan 3, 2020",16.33
261,"Jan 2, 2020",16.56
262,"Dec 31, 2019",16.22
263,"Dec 30, 2019",16.21
264,"Dec 27, 2019",16.25
265,"Dec 24, 2019",16.28
266,"Dec 23, 2019",16.32
267,"Dec 20, 2019",16.33
268,"Dec 19, 2019",16.26
269,"Dec 18, 2019",16.25
270,"Dec 17, 2019",16.36
271,"Dec 16, 2019",16.14
272,"Dec 13, 2019",16.12
273,"Dec 12, 2019",15.87
274,"Dec 11, 2019",15.24
275,"Dec 10, 2019",15.25
276,"Dec 9, 2019",15.3
277,"Dec 6, 2019",15.24
278,"Dec 5, 2019",15.18
279,"Dec 4, 2019",15.16
280,"Dec 3, 2019",14.98
281,"Dec 2, 2019",15.23
282,"Nov 29, 2019",15.49
283,"Nov 28, 2019",15.7
284,"Nov 27, 2019",15.76
285,"Nov 26, 2019",15.73
286,"Nov 25, 2019",15.72
287,"Nov 22, 2019",16.1
288,"Nov 21, 2019",15.95
289,"Nov 20, 2019",15.99
290,"Nov 19, 2019",16.21
291,"Nov 18, 2019",16.37
292,"Nov 15, 2019",16.65
293,"Nov 14, 2019",16.5
294,"Nov 13, 2019",16.76
295,"Nov 12, 2019",17.42
296,"Nov 11, 2019",17.31
297,"Nov 8, 2019",17.3
298,"Nov 7, 2019",17.45
299,"Nov 6, 2019",17.25
300,"Nov 5, 2019",17.35
301,"Nov 4, 2019",17.22
302,"Nov 1, 2019",16.9
303,"Oct 31, 2019",16.69
304,"Oct 30, 2019",16.74
305,"Oct 29, 2019",16.97
306,"Oct 28, 2019",16.93
307,"Oct 25, 2019",16.98
308,"Oct 24, 2019",16.98
309,"Oct 23, 2019",17.17
310,"Oct 22, 2019",16.91
311,"Oct 21, 2019",16.76
312,"Oct 18, 2019",16.56
313,"Oct 17, 2019",16.75
314,"Oct 16, 2019",16.77
315,"Oct 15, 2019",16.55
316,"Oct 14, 2019",16.3
317,"Oct 11, 2019",16.5
318,"Oct 10, 2019",16.05
319,"Oct 9, 2019",15.64
320,"Oct 8, 2019",15.83
321,"Oct 7, 2019",15.93
322,"Oct 4, 2019",15.84
323,"Oct 3, 2019",15.82
324,"Oct 2, 2019",15.63
325,"Oct 1, 2019",15.78
326,"Sep 30, 2019",16.18
327,"Sep 27, 2019",16.13
328,"Sep 26, 2019",15.89
329,"Sep 25, 2019",18.09
330,"Sep 24, 2019",18.26
331,"Sep 23, 2019",18.18
332,"Sep 20, 2019",18.69
333,"Sep 19, 2019",18.5
334,"Sep 18, 2019",18.16
335,"Sep 17, 2019",18.15
336,"Sep 16, 2019",18.66
337,"Sep 13, 2019",18.57
338,"Sep 12, 2019",18.09
339,"Sep 11, 2019",18.07
340,"Sep 10, 2019",17.85
341,"Sep 9, 2019",17.35
342,"Sep 6, 2019",16.61
343,"Sep 5, 2019",16.59
344,"Sep 4, 2019",16.08
345,"Sep 3, 2019",15.88
346,"Sep 2, 2019",16.01
347,"Aug 30, 2019",16.19
348,"Aug 29, 2019",16.05
349,"Aug 28, 2019",15.96
350,"Aug 27, 2019",16.02
351,"Aug 26, 2019",15.88
352,"Aug 23, 2019",15.71
353,"Aug 22, 2019",15.98
354,"Aug 21, 2019",15.99
355,"Aug 20, 2019",16.13
356,"Aug 19, 2019",16.5
357,"Aug 16, 2019",16.54
358,"Aug 15, 2019",16.15
359,"Aug 14, 2019",16.35
360,"Aug 13, 2019",16.36
361,"Aug 12, 2019",15.89
362,"Aug 9, 2019",15.95
363,"Aug 8, 2019",16.69
364,"Aug 7, 2019",16.61
365,"Aug 6, 2019",16.56
366,"Aug 5, 2019",16.73
367,"Aug 2, 2019",17.07
368,"Aug 1, 2019",17.72
