,Year,GDP per capita in U.S. dollars
0,2025*,5099.62
1,2024*,4870.26
2,2023*,4654.43
3,2022*,4514.73
4,2021*,4384.93
5,2020*,4239.67
6,2019,4354.34
7,2018,4235.78
8,2017,4230.85
9,2016,3982.17
10,2015,3825.88
11,2014,3687.75
12,2013,3452.83
13,2012,3299.6
14,2011,3187.84
15,2010,2825.51
16,2009,2635.74
17,2008,2794.24
18,2007,2489.95
19,2006,2256.56
20,2005,2077.84
21,2004,1872.74
22,2003,1753.34
23,2002,1701.77
24,2001,1568.38
25,2000,1475.21
26,1999,1448.28
27,1998,1570.72
28,1997,1479.01
29,1996,1335.42
30,1995,1279.14
31,1994,1165.43
32,1993,1052.61
33,1992,991.38
34,1991,916.06
35,1990,767.06
36,1989,897.81
37,1988,798.25
38,1987,755.75
39,1986,669.27
40,1985,1269.5
