,Consumer Electronic Type,Installed base in millions
0,Television,284
1,Digital picture frame,50
2,Video projector,4
3,Subscriber DVR,53
4,Subscriber Non-DVR,103
5,Subscriber Thin client,41
6,Subscriber cable DTA,31
7,Standalone DVR,2
8,Over-the-air DTA,7
9,Digital media streaming,77
10,Video cassette recorder,39
11,AV receiver w/surround,43
12,Computer speakers,80
13,Home theater In-a-box,20
14,Radio + clock radio,113
15,Shelf stereo + compact,30
16,Speaker dock,70
17,Sound bar,20
18,Video game console,105
19,Blu-rau player,48
20,"CD plauer, standaone",42
21,DVD player,94
22,Desktop computer,72
23,Portable computer,122
24,Monitor,101
25,External storage drive,89
26,Web camera,66
27,Printer + multi-function,97
28,Integrated access device,85
29,Broadband modem,8
30,Local network equipment,39
31,Cordless phone,104
32,Internet-based phone,12
33,Telephone answering device,11
34,Mobile non-smart phone,66
35,Mobile smart phone,238
36,Bluetooth headset,71
37,Wireless speaker,140
38,Video game,52
39,DVD or Bu-ray player,80
40,"Media player, MP3 + CD",90
41,eReader,54
42,"GPS, handheld",68
43,Smart watch + wearable,64
44,Tablet computer,140
45,Camcorder,54
46,Digital camera,107
