,Month,Advertising,Subscription services and other,Ticketing service**
0,Jan to Dec 2017,1074.93,315.85,76.03
1,Jan to Dec 2016,1072.49,225.79,86.55
2,Jan to Dec 2015,933.31,220.57,10.17
3,Jan to Dec 2014,732.34,188.46,-
4,Feb to Dec 2013*,489.34,110.89,-
5,Feb 2012 to Jan 2013,375.22,51.93,-
6,Feb 2011 to Jan 2012,239.96,34.38,-
7,Feb 2010 to Jan 2011,119.33,18.43,-
8,Feb 2009 to Jan 2010,50.15,5.04,-
9,Feb 2008 to Jan 2009,18.25,1.09,-
10,Feb 2007 to Jan 2008,13.31,0.99,-
11,Feb 2006 to Jan 2007,3.25,0.93,-
