,Month,Price in GBP per kilogram
0,Nov '19,0.22
1,Oct '19,0.23
2,Sep '19,0.24
3,Aug '19,0.26
4,Jul '19,0.27
5,Jun '19,0.24
6,May '19,0.22
7,Apr '19,0.22
8,Mar '19,0.23
9,Feb '19,0.23
10,Jan '19,0.23
11,Dec '18,0.24
12,Nov '18,0.25
13,Oct '18,0.26
14,Sep '18,0.27
15,Aug '18,0.27
16,Jul '18,0.28
17,Jun '18,0.17
18,May '18,0.16
19,Apr '18,0.14
20,Mar '18,0.15
21,Feb '18,0.15
22,Jan '18,0.16
23,Dec '17,0.16
24,Nov '17,0.17
25,Oct '17,0.35
26,Sep '17,0.39
27,Aug '17,0.44
28,Jul '17,0.46
29,Jun '17,0.36
30,May '17,0.31
31,Apr '17,0.32
32,Mar '17,0.32
33,Feb '17,0.33
34,Jan '17,0.33
35,Dec '16,0.33
36,Nov '16,0.32
37,Oct '16,0.34
38,Sep '16,0.34
39,Aug '16,0.35
40,Jul '16,0.35
41,Jun '16,0.29
42,May '16,0.29
43,Apr '16,0.31
44,Mar '16,0.3
45,Feb '16,0.31
46,Jan '16,0.31
47,Dec '15,0.3
48,Nov '15,0.3
49,Oct '15,0.32
50,Sep '15,0.35
51,Aug '15,0.37
52,Jul '15,0.39
53,Jun '15,0.31
54,May '15,0.29
55,Apr '15,0.28
56,Mar '15,0.28
57,Feb '15,0.29
58,Jan '15,0.3
