,Universities in Finland,Number of students
0,University of Helsinki,31245
1,Aalto University,17452
2,University of Turku,16142
3,University of Eastern Finland,15636
4,University of Jyväskylä,13813
5,University of Tampere,13169
6,University of Oulu,12619
7,Tampere University of Technology,7844
8,Åbo Akademi University,5580
9,Lappeenranta University of Technology,5217
10,University of Vaasa,4962
11,University of Lapland,4340
12,Hanken school of Economics,2500
13,University of the Arts Helsinki,1935
14,National Defence University,975
