,Year,Index*
0,2017 Q3,99.7
1,2017 Q2,99.5
2,2017 Q1,98.8
3,2016 Q4,97.3
4,2016 Q3,97.2
5,2016 Q2,97.6
6,2016 Q1,98.5
7,2015 Q4,99.1
8,2015 Q3,99.5
9,2015 Q2,100.4
10,2015 Q1,101.1
11,2014 Q4,101.8
12,2014 Q3,102.0
13,2014 Q2,102.7
14,2014 Q1,104.1
15,2013 Q4,103.5
16,2013 Q3,103.0
17,2013 Q2,102.7
18,2013 Q1,102.2
19,2012 Q4,100.6
20,2012 Q3,98.9
21,2012 Q2,98.6
22,2012 Q1,98.4
23,2011 Q4,97.1
24,2011 Q3,96.9
25,2011 Q2,95.4
26,2011 Q1,94.7
27,2010 Q4,93.1
28,2010 Q3,91.2
29,2010 Q2,90.3
30,2010 Q1,89.6
