,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,1.9%
2,2023*,1.65%
3,2022*,1.41%
4,2021*,0.95%
5,2020*,0.99%
6,2019,1.48%
7,2018,1.21%
8,2017,2.43%
9,2016,-0.49%
10,2015,0.97%
11,2014,1.09%
12,2013,1.06%
13,2012,3.38%
14,2011,3.46%
15,2010,3.37%
16,2009,-0.55%
17,2008,5.33%
18,2007,1.42%
19,2006,1.79%
20,2005,2.1%
21,2004,2.03%
22,2003,1.99%
23,2002,2.41%
24,2001,1.94%
25,2000,-0.16%
26,1999,1.14%
27,1998,3.26%
28,1997,0.36%
29,1996,2.97%
30,1995,2.74%
31,1994,6.49%
32,1993,3.1%
33,1992,3%
34,1991,4.52%
35,1990,6.59%
36,1989,4.36%
37,1988,6.8%
38,1987,3.6%
39,1986,0.5%
40,1985,1%
