,Year,GDP per capita in U.S. dollars
0,2025*,87286.11
1,2024*,84700.11
2,2023*,82401.29
3,2022*,79684.26
4,2021*,76408.03
5,2020*,67988.59
6,2019*,75294.43
7,2018,81549.98
8,2017,75306.67
9,2016,70223.82
10,2015,74115.16
11,2014,96657.58
12,2013,102722.0
13,2012,101273.38
14,2011,100307.39
15,2010,87432.38
16,2009,79836.11
17,2008,96626.3
18,2007,84946.46
19,2006,73936.76
20,2005,66652.74
21,2004,57478.74
22,2003,20023.11
23,2002,42974.68
24,2001,38501.58
25,2000,38063.12
26,1999,36278.68
27,1998,34717.45
28,1997,36560.86
29,1996,37224.69
30,1995,34789.46
31,1994,29236.41
32,1993,27880.63
33,1992,30432.93
34,1991,28514.5
35,1990,28187.22
36,1989,24245.45
37,1988,24143.16
38,1987,22445.07
39,1986,18853.07
40,1985,15728.22
