,Most valuable insurance brands domiciled in selected European countries,Brand value in million U.S. dollars
0,Allianz (Germany),20937
1,Axa (France),19529
2,Generali Group (Italy),13002
3,Prudential (UK),7877
4,Zurich (Switzerland),7554
5,Swiss Re (Switzerland),6360
6,Aviva (UK),6194
7,Munich Re (Germany),5866
8,ING (Netherlands),4539
9,CNP Assurances (France),4480
10,Ergo (Germany),4428
11,Aegon (Netherlands),4171
12,Ace (Switzerland),3194
13,Mapfre (Spain),3150
14,Scottish Widows (UK),2665
15,Hannover Re (Germany),2500
16,RSA (UK),2303
17,BUPA (UK),2269
18,Swiss Life (Switzerland),2053
19,Jackson National Life Insurance Company (UK),2035
20,Aon (UK),1936
