,dog breed,Number of registrations
0,Retriever (Labrador),35347
1,French Bulldog,33661
2,Spaniel (Cocker),21663
3,Bulldog,9922
4,Spaniel (English Springer),8638
5,Retriever (Golden),8422
6,Dachshund (Miniature Smooth-Haired),8375
7,German Shepherd Dog,6837
8,Pug,6751
9,Miniature Schnauzer,4982
10,Staffordshire Bull Terrier,4454
11,Border Terrier,4353
12,Boxer,3329
13,Cavalier King Charles Spaniel,3252
14,Whippet,3146
15,Hungarian Vizsla,2771
16,Shih Tzu,2186
17,Beagle,2177
18,Border Collie,2087
19,Rottweiler,1935
