,Fastest growing metropolitan areas ,Percent change in population
0,"Austin-Round Rock, TX",26.34%
1,"Orlando-Kissimmee-Sanford, FL",20.55%
2,"Raleigh, NC",20.53%
3,"Charleston-North Charleston, SC",18.51%
4,"Houston-The Woodlands-Sugar Land, TX",18.19%
5,"San Antonio-New Braunfels, TX",17.53%
6,"Dallas-Fort Worth-Arlington, TX",17.33%
7,"North Port-Sarasota-Bradenton, FL",16.99%
8,"Charlotte-Concord-Gastonia, NC-SC",15.89%
9,"Phoenix-Mesa-Scottsdale, AZ",15.86%
10,"Nashville-Davidson--Murfreesboro--Franklin, TN",15.56%
11,"Denver-Aurora-Lakewood, CO",15.29%
12,"Seattle-Tacoma-Bellevue, WA",14.52%
13,"Las Vegas-Henderson-Paradise, NV",14.37%
14,"Jacksonville, FL",14.05%
15,"Tampa-St. Petersburg-Clearwater, FL",12.91%
16,"Atlanta-Sandy Springs-Roswell, GA",12.55%
17,"Salt Lake City, UT",12.38%
18,"McAllen-Edinburg-Mission, TX",11.77%
19,"Oklahoma City, OK",11.45%
