,Year,GDP in billion international dollars
0,2021*,313.85
1,2020*,293.01
2,2019,323.65
3,2018,312.27
4,2017,299.06
5,2016,289.18
6,2015,286.76
7,2014,285.05
8,2013,277.82
9,2012,282.17
10,2011,298.67
11,2010,321.96
12,2009,336.69
13,2008,349.16
14,2007,343.65
15,2006,324.05
16,2005,297.71
17,2004,287.0
18,2003,266.01
19,2002,246.86
20,2001,233.84
21,2000,219.74
22,1999,206.83
23,1998,197.81
24,1997,188.27
25,1996,177.14
26,1995,169.11
27,1994,162.24
28,1993,155.73
29,1992,154.6
30,1991,150.11
31,1990,140.83
32,1989,135.75
33,1988,125.84
34,1987,116.56
35,1986,116.37
36,1985,113.49
37,1984,107.32
