,Year,Gross domestic product in billion U.S. dollars
0,2024*,298.84
1,2023*,282.82
2,2022*,267.69
3,2021*,253.44
4,2020*,240.18
5,2019*,228.99
6,2018,225.37
7,2017,214.19
8,2016,194.39
9,2015,191.32
10,2014,202.31
11,2013,202.12
12,2012,192.93
13,2011,170.84
14,2010,148.82
15,2009,121.36
16,2008,121.78
17,2007,102.19
18,2006,87.89
19,2005,74.97
20,2004,66.71
21,2003,59.05
22,2002,54.45
23,2001,51.61
24,2000,51.01
25,1999,49.38
26,1998,54.6
27,1997,56.91
28,1996,54.09
29,1995,52.14
30,1994,43.79
31,1993,34.33
32,1992,35.38
33,1991,33.99
34,1990,28.33
35,1989,40.7
36,1988,32.98
37,1987,41.68
38,1986,25.24
39,1985,16.82
40,1984,19.44
