,Month,Total amounts outstanding in million U.S. dollars
0,Dec '19,15193
1,Nov '19,14585
2,Oct '19,15055
3,Sep '19,14776
4,Aug '19,15250
5,Jul '19,14243
6,Jun '19,14086
7,May '19,12994
8,Apr '19,12786
9,Mar '19,12926
10,Feb '19,13120
11,Jan '19,13199
12,Dec '18,12809
13,Nov '18,12161
14,Oct '18,12137
15,Sep '18,11879
16,Aug '18,12015
17,Jul '18,12182
18,Jun '18,12485
19,May '18,13021
20,Apr '18,13105
21,Mar '18,13207
22,Feb '18,13147
23,Jan '18,13418
24,Dec '17,12879
25,Nov '17,12771
26,Oct '17,12671
27,Sep '17,12800
28,Aug '17,13086
29,Jul '17,12645
30,Jun '17,12393
31,May '17,12623
32,Apr '17,12636
33,Mar '17,12420
34,Feb '17,12533
35,Jan '17,12099
36,Dec '16,11544
37,Nov '16,11744
38,Oct '16,12712
39,Sep '16,13197
40,Aug '16,13072
41,Jul '16,13393
42,Jun '16,13170
43,May '16,12098
