,State,Number of earthquakes
0,Alaska,12053
1,California,4895
2,Hawaii,1533
3,Nevada,778
4,Washington,424
5,Idaho,404
6,Wyoming,217
7,Montana,186
8,Utah,139
9,Oregon,73
10,New Mexico,38
11,Arkansas,34
12,Arizona,32
13,Colorado,24
14,Tennessee,22
15,Missouri,21
16,Texas,20
17,Illinois,17
18,Oklahoma,17
19,Maine,16
20,New York,16
21,Alabama,15
22,Kentucky,15
23,South Carolina,10
24,South Dakota,10
25,Virginia,10
26,Nebraska,8
27,Ohio,8
28,Georgia,7
29,Indiana,6
30,New Hampshire,6
31,Pennsylvania,6
32,Kansas,4
33,North Carolina,3
34,Massachusetts,2
35,Michigan,2
36,Minnesota,2
37,Mississippi,2
38,New Jersey,2
39,Louisiana,1
40,Rhode Island,1
41,West Virginia,1
42,Connecticut,0
43,Delaware,0
44,Florida,0
45,Iowa,0
46,Maryland,0
47,North Dakota,0
48,Vermont,0
49,Wisconsin,0
