,association football club,Enterprise value in million euros
0,Real Madrid CF,3478
1,Manchester United FC,3342
2,FC Barcelona,3193
3,FC Bayern München,2878
4,Liverpool FC,2658
5,Manchester City FC,2606
6,Chelsea FC,2218
7,Tottenham Hotspur FC,2067
8,Paris Saint-Germain FC,1911
9,Arsenal FC,1852
10,Juventus FC,1735
11,Borussia Dortmund,1281
12,Atlético de Madrid,1197
13,FC Internazionale Milano,983
14,FC Schalke 04,814
15,AS Roma,602
16,SSC Napoli,590
17,West Ham United FC,561
18,Leicester City FC New,558
19,Olympique Lyonnais,543
20,Everton FC,533
21,AC Milan,526
22,AFC Ajax,432
23,SL Benfica,410
24,Valencia CF,408
25,Sevilla FC,372
26,Galatasaray,366
27,SS Lazio,328
28,Athletic Club Bilbao,320
29,FC Porto,313
30,Beşiktaş JK,310
31,Villarreal CF,301
