,Month,Units sold
0,Jul '20,950
1,Jul '19,751
2,Jan '19,333
3,Dec '18,476
4,Nov '18,339
5,Oct '18,435
6,Sep '18,1048
7,Aug '18,510
8,Jul '18,722
9,Jun '18,1068
10,May '18,861
11,Apr '18,732
12,Mar '18,1405
13,Feb '18,257
14,Jan '18,395
15,Dec '17,375
16,Nov '17,468
17,Oct '17,527
18,Sep '17,959
19,Aug '17,554
20,Jul '17,881
21,Jun '17,1335
22,May '17,1095
23,Apr '17,1248
24,Mar '17,1333
25,Feb '17,274
26,Jan '17,383
27,Dec '16,1245
28,Nov '16,666
29,Oct '16,656
30,Sep '16,1572
31,Aug '16,831
32,Jul '16,1160
