,Month,Number of weeks at No. 1
0,Roger Federer (SUI),310
1,Pete Sampras (USA),286
2,Ivan Lendl (CZE),270
3,Jimmy Connors (USA),268
4,Novak Djokovic (SRB),232
5,John McEnroe (USA),170
6,Rafael Nadal (ESP),196
7,Bjorn Borg (SWE),109
8,Andre Agassi (USA),101
9,Lleyton Hewitt (AUS),80
10,Stefan Edberg (SWE),72
11,Jim Courier (USA),58
12,Gustavo Kuerten (BRA),43
13,Andy Murray (GBR),41
14,Ilie Nastase (ROM),40
15,Mats Wilander (SWE),20
16,Andy Roddick (USA),13
17,Boris Becker (GER),12
18,Marat Safin (RUS),9
19,Juan Carlos Ferrero (ESP),8
20,John Newcombe (AUS),8
