,Year,Inflation rate compared to previous year
0,2025*,2.34%
1,2024*,2.34%
2,2023*,2.34%
3,2022*,2.34%
4,2021*,1.57%
5,2020*,2.91%
6,2019,4.1%
7,2018,3.69%
8,2017,4.41%
9,2016,1.51%
10,2015,-1.11%
11,2014,1.77%
12,2013,1.81%
13,2012,4.53%
14,2011,9.43%
15,2010,5.82%
16,2009,3.65%
17,2008,8.11%
18,2007,4.03%
19,2006,7.31%
20,2005,6.07%
21,2004,1.43%
22,2003,1.58%
23,2002,0.17%
24,2001,2.8%
25,2000,2.44%
26,1999,1.56%
27,1998,-1.27%
28,1997,7.71%
29,1996,2.39%
30,1995,2.84%
31,1994,0.7%
32,1993,1.18%
33,1992,6%
34,1991,6.3%
35,1990,3.04%
36,1989,6.33%
37,1988,4.72%
38,1987,3.57%
39,1986,0.2%
40,1985,4.86%
