,Response,Share of GSCE entries that were A/7 or higher
0,2020,26.2%
1,2019,20.8%
2,2018,20.5%
3,2017,20%
4,2016,20.5%
5,2015,21.1%
6,2014,21%
7,2013,21.3%
8,2012,22.4%
9,2011,23.2%
10,2010,22.6%
11,2009,21.6%
12,2008,20.7%
13,2007,19.5%
14,2006,19.1%
15,2005,18.4%
16,2004,17.2%
17,2003,16.7%
18,2002,16.4%
19,2001,16.1%
20,2000,15.8%
21,1999,15.2%
22,1998,14.7%
23,1997,14.1%
24,1996,13.7%
25,1995,13.1%
26,1994,13%
27,1993,12.5%
28,1992,12.3%
29,1991,11.4%
30,1990,10.8%
31,1989,9.9%
32,1988,8.4%
