,studio album,Number of units sold in thousands
0,NSYNC - 'No Strings Attached' (2000),9936
1,Linkin Park - 'Hybrid Theory' (2001),4813
2,Eminem - 'The Eminem Show' (2002),7608
3,50 Cent - 'Get Rich or Die Tryin' (2003),6536
4,Usher - 'Confessions' (2004),7979
5,Mariah Carey - 'The Emancipation of Mimi' (2005),4969
6,High School Musical - Soundtrack (2006),3719
7,Josh Groban - 'Noël' (2007),3699
8,Lil Wayne - 'Tha Carter III' (2008),2880
9,Taylor Swift - 'Fearless' (2009),3217
10,Eminem - 'Recovery' (2010),3415
11,Adele - '21' (2011 and 2012)*,5824
12,Justin Timberlake - 'The 20/20 Experience' (2013),2430
13,Taylor Swift - '1989' (2014),3661
14,Adele - '25' (2015),8008
15,Drake - 'Views' (2016),4140
16,Ed Sheeran - '÷' (2017),2764
