,Response,Share of payments in income
0,Q2 '20,8.69%
1,Q1 '20,9.63%
2,Q4 '19,9.73%
3,Q3 '19,9.69%
4,Q2 '19,9.71%
5,Q1 '19,9.71%
6,Q4 '18,9.75%
7,Q3 '18,9.7%
8,Q2 '18,9.71%
9,Q1 '18,9.74%
10,Q4 '17,9.88%
11,Q3 '17,9.94%
12,Q2 '17,9.96%
13,Q1 '17,9.96%
14,Q4 '16,10.04%
15,Q3 '16,10.06%
16,Q2 '16,10%
17,Q1 '16,9.9%
18,Q4 '15,9.93%
19,Q3 '15,9.95%
20,Q2 '15,9.91%
21,Q1 '15,9.92%
22,Q4 '14,9.86%
23,Q3 '14,9.87%
24,Q2 '14,9.91%
25,Q1 '14,9.98%
26,Q4 '13,10.08%
27,Q3 '13,10.07%
28,Q2 '13,10.11%
29,Q1 '13,10.19%
30,Q4 '12,9.83%
31,Q3 '12,10.14%
32,Q2 '12,10.08%
33,Q1 '12,10.2%
34,Q4 '11,10.45%
35,Q3 '11,10.58%
36,Q2 '11,10.69%
37,Q1 '11,10.77%
