,Year,Inflation rate compared to previous year
0,2024*,2.5%
1,2023*,2.5%
2,2022*,3.3%
3,2021*,4.2%
4,2020*,2.2%
5,2019*,1.5%
6,2018,0.58%
7,2017,1.51%
8,2016,3.48%
9,2015,3.68%
10,2014,3.13%
11,2013,2.7%
12,2012,3.2%
13,2011,4.91%
14,2010,4.5%
15,2009,4.61%
16,2008,6.3%
17,2007,5.47%
18,2006,3.09%
19,2005,4.12%
20,2004,1.26%
21,2003,0.99%
22,2002,0.8%
23,2001,1.45%
24,2000,1.57%
25,1999,3.08%
26,1998,0.6%
27,1997,0.81%
28,1996,3.04%
29,1995,2.53%
30,1994,2.37%
31,1993,0.6%
32,1992,-0.32%
33,1991,8.13%
34,1990,15.8%
35,1989,3.34%
36,1988,1.47%
37,1987,0.66%
38,1986,0.95%
39,1985,1.49%
40,1984,1.18%
