,Response,Percentage of healthcare professionals
0,Fear of connection to autism spectrum disorder,77%
1,Concerns about added ingredients in vaccines,71%
2,Worry child will suffer other complications from vaccine,70%
3,"Worries about ""overwhelming"" infant's immune system",56%
4,Distrust of pharmaceutical industry,44%
5,Believe child will get illness from vaccine,41%
6,Pain/stress of multiple injections for child,37%
7,Believe naturally acquired immunity preferable,32%
8,Religious or political belief,31%
9,Doubt about vaccine efficacy,23%
10,Cost/lack of insurance coverage for vaccines,8%
