,Year,GDP per capita in U.S. dollars
0,2025*,13087.1
1,2024*,12190.81
2,2023*,11366.28
3,2022*,10306.85
4,2021*,9454.35
5,2020*,8781.87
6,2019*,9750.17
7,2018,9749.07
8,2017,9186.71
9,2016,7662.01
10,2015,10435.17
11,2014,12713.56
12,2013,13789.25
13,2012,12300.48
14,2011,11553.13
15,2010,9005.26
16,2009,7116.5
17,2008,8349.29
18,2007,6733.45
19,2006,5261.03
20,2005,3753.44
21,2004,2862.5
22,2003,2062.29
23,2002,1657.15
24,2001,1491.65
25,2000,1230.49
26,1999,1132.13
27,1998,1445.9
28,1997,1457.03
29,1996,1349.6
30,1995,1058.58
