,Quarter,Net earnings in million U.S. dollars
0,Q3'19,319
1,Q2'19,440
2,Q1'19,1583
3,Q4'18,561
4,Q3 '18,488
5,Q2 '18,400
6,Q1 '18,511
7,Q4 '17,-41
8,Q3 '17,592
9,Q2 '17,58
10,Q1 '17,-252
11,Q4 '16,-113
12,Q3 '16,478
13,Q2 '16,423
14,Q1 '16,473
15,Q4 '15,261
16,Q3 '15,426
17,Q2 '15,332
18,Q1 '15,394
19,Q4'14,413
20,Q3'14,1639
21,Q2 '14,439
22,Q1 '14,468
23,Q4'13,470
24,Q3'13,494
25,Q2'13,472
26,Q1'13,443
27,Q4 '12,393
28,Q3'12,391
29,Q2'12,427
30,Q1'12,363
31,Q4 '11,370
32,Q3'11,338
33,Q2'11,395
34,Q1'11,202
35,Q4'10,283
36,Q3'10,317
37,Q2'10,150
38,Q1'10,-26
