,State,Number of adherents
0,California,16765751
1,Texas,13994564
2,New York,9923512
3,Florida,7357588
4,Illinois,7094832
5,Pennsylvania,6838440
6,Ohio,5071684
7,Georgia,4924376
8,New Jersey,4809520
9,North Carolina,4530365
10,Michigan,4165343
11,Massachusetts,3748058
12,Virginia,3586592
13,Tennessee,3522345
14,Wisconsin,3047442
15,Alabama,3007553
16,Minnesota,2986450
17,Missouri,2950894
18,Indiana,2874144
19,Louisiana,2746897
20,Maryland,2415376
21,South Carolina,2413443
22,Arizona,2379928
23,Washington,2328005
24,Kentucky,2237714
25,Oklahoma,2226379
26,Utah,2186403
27,Colorado,1902282
28,Connecticut,1830862
29,Mississippi,1742916
30,Iowa,1642344
31,Arkansas,1614357
32,Kansas,1444455
33,Oregon,1194793
34,New Mexico,1031198
35,Nebraska,1016529
36,Nevada,927955
37,Idaho,801655
38,West Virginia,658313
39,Rhode Island,576919
40,Hawaii,561980
41,South Dakota,476832
42,New Hampshire,462772
43,North Dakota,451456
44,Montana,376976
45,Delaware,374917
46,Maine,367043
47,District of Columbia,332342
48,Alaska,240833
49,Wyoming,223074
50,Vermont,210391
