,Response,Share of GDP
0,2018,1.62%
1,2017,1.55%
2,2016,1.43%
3,2015,1.6%
4,2014,1.55%
5,2013,1.45%
6,2012,1.63%
7,2011,1.65%
8,2010,1.6%
9,2009,1.32%
10,2008,1.51%
11,2007,1.61%
12,2006,1.51%
13,2005,1.68%
14,2004,1.82%
15,2003,1.85%
16,2002,2.01%
17,2001,2.1%
18,2000,2.09%
19,1999,2.23%
20,1998,2.36%
21,1997,2.34%
22,1996,2.4%
23,1995,2.44%
24,1994,2.4%
25,1993,2.29%
26,1992,2.59%
27,1991,2.61%
28,1990,3.13%
29,1989,3.12%
30,1988,2.84%
31,1987,3.08%
32,1986,3.23%
33,1985,3.33%
34,1984,3.35%
35,1983,3.59%
36,1982,4.05%
37,1981,3.53%
38,1980,3.6%
39,1979,4.13%
40,1978,4.17%
41,1977,4.31%
42,1976,4.55%
43,1975,4.81%
44,1974,5.41%
45,1973,6.77%
46,1972,6.77%
47,1971,6.06%
48,1970,6.62%
49,1969,6.67%
50,1968,7.32%
51,1967,7.56%
52,1966,7.59%
53,1965,7.78%
54,1964,7.98%
55,1963,8.82%
56,1962,9.83%
57,1961,9.08%
58,1960,10.53%
