,State,Number of aggravated assaults
0,California,105541
1,Texas,76253
2,Florida,55475
3,New York,44555
4,Illinois,32187
5,Tennessee,31186
6,Michigan,30545
7,North Carolina,27517
8,Georgia,24633
9,Pennsylvania,24465
10,Arizona,22704
11,Missouri,21936
12,South Carolina,20105
13,Ohio,19154
14,Louisiana,18695
15,Alabama,18679
16,Indiana,16783
17,Massachusetts,16609
18,Maryland,15798
19,Colorado,14185
20,Washington,13700
21,New Mexico,13640
22,Arkansas,13513
23,Oklahoma,12183
24,Wisconsin,11643
25,Virginia,10987
26,New Jersey,10852
27,Nevada,9620
28,Kansas,9154
29,Oregon,7825
30,Minnesota,7618
31,Iowa,6323
32,Kentucky,5747
33,Mississippi,5493
34,Utah,4534
35,West Virginia,4464
36,Alaska,4360
37,District of Columbia,4179
38,Connecticut,3742
39,Nebraska,3731
40,Montana,3472
41,Idaho,3001
42,Delaware,2967
43,South Dakota,2676
44,Hawaii,2098
45,North Dakota,1529
46,Rhode Island,1408
47,New Hampshire,1138
48,Vermont,902
49,Wyoming,854
50,Maine,824
