,Leading companies,Turnover in million SEK
0,Peab AB,52233
1,Alfa Laval AB,40666
2,Sony Mobile Communications AB,35374
3,Trelleborg AB,34005
4,AAK AB (publ),27592
5,"Tetra Pak, AB",17019
6,Hexpol AB,13770
7,Beijer Ref AB (publ),13015
8,Bergendahl & Son AB,12988
9,Perstorp Holding AB,12436
10,Mercedes-Benz Sverige AB,11074
11,E.ON Energilösningar AB,10956
12,Höganäs Holding AB,10361
13,Hilding Anders Holdings 3 AB,10326
14,E. ON Sverige AB,10142
15,Lindab International AB,9326
16,Axis Communications AB,8531
17,E.ON Energidistribution AB,8301
18,Stora Enso Paper AB,8149
19,Nolato AB,8102
