,Municipality,"Police officers per 100,000 population"
0,"Victoria, B.C.",214
1,"Montréal, Que.",212
2,"Halifax, N.S.",209
3,"Windsor, Ont.",205
4,"Thunder Bay, Ont.",205
5,"Vancouver, B.C.",196
6,"Edmonton, Alta.",188
7,"Winnipeg, Man.",186
8,"Brantford, Ont.",178
9,"Saskatoon, Sask.",173
10,"Regina, Sask.",170
11,"Red Deer, Alta. (Royal Canadian Mounted Police)",166
12,"Barrie, Ont.",163
13,"Toronto, Ont.",162
14,"Calgary, Alta.",162
15,"St. John's, N.L.",161
16,"Chatham-Kent, Ont.",156
17,"Greater Sudbury, Ont.",155
18,"Kingston, Ont.",154
19,"Niagara Region (St. Catharines), Ont.",152
20,"Delta, B.C.",145
21,"Longueuil, Que.",145
22,"Peel Region (Mississauga/Brampton), Ont.",144
23,"Guelph, Ont.",143
24,"Kelowna, B.C.",142
25,"London, Ont.",142
26,"Surrey, B.C.",140
27,"Gatineau, Que.",139
28,"Abbotsford, B.C.",139
29,"Laval, Que.",135
30,"York Region (Markham/Vaughan), Ont.",134
31,"Langley Township, B.C.",133
32,"Durham Region (Oshawa/Whitby/Ajax), Ont.",132
33,"Waterloo Region (Kitchener), Ont.",131
34,"Saguenay, Que.",126
35,"Saanich, B.C.",125
36,"Sherbrooke, Que.",125
37,"Québec, Que.",124
38,"Halton Region (Oakville/Burlington), Ont.",123
39,"Terrebonne, Que.",122
40,"Ottawa, Ont.",121
41,"Burnaby, B.C.",118
42,"Trois-Rivières, Que.",118
43,"Richmond, B.C.",117
44,"Codiac Region (Moncton), N.B.",116
45,"Coquitlam, B.C.",114
46,"Lévis, Que.",106
47,"Roussillon Region, Que.",104
48,"Richelieu Saint-Laurent, Que.",102
