,Year,Male,Female
0,Finland (2009-10),386,336
1,United Kingdom (2005),382,339
2,Norway (2010),364,355
3,Germany (2001-02),351,326
4,Denmark (2001),340,320
5,Belgium (2005),350,307
6,Ireland (2005),341,290
7,Canada (2010),336,294
8,Estonia (2009-2010),345,278
9,Slovenia (2000-01),337,283
10,South Africa (2010),334,282
11,New Zealand (2009-10),306,295
12,Poland (2003-04),323,273
13,Netherlands (2005-06),301,290
14,United States (2014),320,271
15,France (2009),318,270
16,Sweden (2010),314,272
17,Spain (2009-10),310,273
18,Korea (2009),314,268
19,Australia (2006),297,269
20,Austria (2008-09),299,262
21,Hungary (1999-2000),303,255
22,Italy (2008),309,248
23,Turkey (2006),279,247
24,India (1999),283,221
25,Portugal (1999),289,200
26,Japan (2011),240,244
27,China (2008),248,211
28,Mexico (2009),236,206
