,Year,GDP in billion U.S. dollars
0,2021*,1313.57
1,2020*,1236.13
2,2019,1287.28
3,2018,1215.45
4,2017,1128.45
5,2016,1055.47
6,2015,1013.6
7,2014,966.07
8,2013,918.05
9,2012,889.83
10,2011,859.27
11,2010,801.48
12,2009,764.66
13,2008,738.06
14,2007,694.47
15,2006,631.85
16,2005,577.59
17,2004,541.24
18,2003,501.31
19,2002,475.24
20,2001,461.18
21,2000,445.91
22,1999,418.34
23,1998,394.53
24,1997,371.63
25,1996,341.15
26,1995,315.34
27,1994,289.4
28,1993,269.24
29,1992,252.2
30,1991,241.67
31,1990,251.37
32,1989,261.02
33,1988,241.95
34,1987,226.27
35,1986,215.84
36,1985,204.44
37,1984,190.8
