,Month,Gross lending in million GBP
0,Mar '20,44697
1,Feb '20,12959
2,Jan '20,16439
3,Dec '19,18668
4,Nov '19,16356
5,Oct '19,16150
6,Sep '19,16253
7,Aug '19,13570
8,Jul '19,17134
9,Jun '19,15250
10,May '19,15783
11,Apr '19,15292
12,Mar '19,17948
13,Feb '19,18528
14,Jan '19,21044
15,Dec '18,19296
16,Nov '18,16563
17,Oct '18,18289
18,Sep '18,15511
19,Aug '18,14300
20,Jul '18,22767
21,Jun '18,20856
22,May '18,17189
23,Apr '18,19408
24,Mar '18,21537
25,Feb '18,14632
26,Jan '18,15067
27,Dec '17,17948
28,Nov '17,12791
29,Oct '17,16897
30,Sep '17,14659
31,Aug '17,14965
32,Jul '17,25474
33,Jun '17,18727
34,May '17,16552
35,Apr '17,16031
36,Mar '17,18463
37,Feb '17,12714
38,Jan '17,16120
39,Dec '16,16284
40,Nov '16,15124
41,Oct '16,15043
42,Sep '16,15831
43,Aug '16,10945
44,Jul '16,14345
45,Jun '16,14375
46,May '16,14525
47,Apr 16,13418
48,Mar 16,14797
49,Feb 16,13202
50,Jan 16,16876
