,Month,House price index in index points
0,Oct '20,128.73
1,Sep '20,127.79
2,Aug '20,125.92
3,Jul '20,124.52
4,Jun '20,123.27
5,May '20,121.26
6,Apr '20,120.75
7,Mar '20,122.29
8,Feb '20,121.04
9,Jan '20,121.74
10,Dec '19,121.61
11,Nov '19,122.31
12,Oct '19,122.6
13,Sep '19,122.46
14,Jul '19,122.08
15,Jun '19,120.73
16,May '19,120.23
17,Apr '19,120.0
18,Mar '19,119.11
19,Feb '19,119.44
20,Jan '19,119.75
21,Dec '18,120.49
22,Nov '18,120.75
23,Oct '18,121.27
24,Sep '18,121.39
25,Aug '18,121.63
26,Jul '18,121.25
27,Jun '18,119.77
28,May '18,118.97
29,Apr '18,118.49
30,Mar '18,117.36
31,Feb '18,118.08
32,Jan '18,117.77
33,Dec '17,118.18
34,Nov '17,117.72
35,Oct '17,118.06
36,Sep '17,117.95
37,Aug '17,118.4
38,Jul '17,117.86
39,Jun '17,116.35
40,May '17,115.36
41,Apr '17,114.67
42,Mar '17,112.89
43,Feb '17,113.13
44,Jan '17,112.89
45,Dec '16,113.03
46,Nov '16,112.82
47,Oct '16,112.29
48,Sep '16,112.67
49,Aug '16,112.84
50,Jul '16,112.83
51,Jun '16,111.65
52,May '16,110.6
53,Apr '16,109.32
54,Mar '16,108.92
55,Feb '16,107.81
56,Jan '16,107.76
57,Dec '15,107.48
58,Nov '15,107.11
59,Oct '15,106.29
60,Sep '15,106.15
61,Aug '15,105.93
62,Jul '15,104.97
63,Jun '15,103.22
64,May '15,102.44
65,Apr '15,101.34
66,Mar '15,100.46
67,Feb '15,100.09
68,Jan '15,100.0
