,State,Number of insurers
0,Alabama,3
1,Alaska,2
2,Arizona,13
3,Arkansas,4
4,California,10
5,Colorado,12
6,Connecticut,4
7,Delaware,3
8,District of Columbia,4
9,Florida,14
10,Georgia,9
11,Hawaii,2
12,Idaho,5
13,Illinois,10
14,Indiana,9
15,Iowa,4
16,Kansas,5
17,Kentucky,5
18,Louisiana,6
19,Maine,3
20,Maryland,7
21,Massachusetts*,-
22,Michigan,16
23,Minnesota*,-
24,Mississsippi,3
25,Missouri,8
26,Montana,4
27,Nebraska,4
28,Nevada,5
29,New Hampshire,5
30,New Jersey,6
31,New Mexico,5
32,New York,17
33,North Carolina,3
34,North Dakota,3
35,Ohio,16
36,Oklahoma,7
37,Oregon,10
38,Pennsylvania,15
39,Rhode Island,3
40,South Carolina,5
41,South Dakota,3
42,Tennessee,5
43,Texas,16
44,Utah,6
45,Vermont,2
46,Virginia,9
47,Washington,10
48,West Virginia,2
49,Wisconsin,15
50,Wyoming,2
