,Year,Number of households in millions
0,2020,128.45
1,2019,128.58
2,2018,127.59
3,2017,126.22
4,2016,125.82
5,2015,124.59
6,2014,123.23
7,2013,122.46
8,2012,121.08
9,2011,118.68
10,2010,117.54
11,2009,117.18
12,2008,116.78
13,2007,116.01
14,2006,114.38
15,2005,113.34
16,2004,112.0
17,2003,111.28
18,2002,109.3
19,2001,108.21
20,2000,104.71
21,1999,103.87
22,1998,102.53
23,1997,101.02
24,1996,99.63
25,1995,98.99
26,1994,97.11
27,1993,96.39
28,1992,95.67
29,1991,94.31
30,1990,93.35
31,1989,92.83
32,1988,91.07
33,1987,89.48
34,1986,88.46
35,1985,86.79
36,1984,85.41
37,1983,83.92
38,1982,83.53
39,1981,82.37
40,1980,80.78
41,1979,77.33
42,1978,76.03
43,1977,74.14
44,1976,72.87
45,1975,71.12
46,1974,69.86
47,1973,68.25
48,1972,66.68
49,1971,64.78
50,1970,63.4
51,1960,52.8
